"","id","quality","severity","patch","week","varability"
"404",44,"good","slowdrying","slowincrease",7,22
"405",45,"good","slowdrying","slowincrease",7,16
"406",46,"good","slowdrying","slowincrease",7,42
"407",47,"good","slowdrying","slowincrease",7,14
"408",48,"good","slowdrying","slowincrease",7,14
"409",49,"good","fastdrying","fastincrease",7,32
"410",50,"good","fastdrying","fastincrease",7,12
"411",51,"good","fastdrying","fastincrease",7,74
"412",52,"good","fastdrying","fastincrease",7,84
"413",53,"good","fastdrying","fastincrease",7,25
"414",54,"good","fastdrying","fastincrease",7,50
"415",55,"good","fastdrying","slowincrease",7,19
"416",56,"good","fastdrying","slowincrease",7,26
"417",57,"good","fastdrying","slowincrease",7,42
"418",58,"good","fastdrying","slowincrease",7,23
"419",59,"good","fastdrying","slowincrease",7,11
"420",60,"good","fastdrying","slowincrease",7,30
"427",7,"poor","slowdrying","fastincrease",8,304
"428",8,"poor","slowdrying","fastincrease",8,140
"429",9,"poor","slowdrying","fastincrease",8,108
"430",10,"poor","slowdrying","fastincrease",8,287
"431",11,"poor","slowdrying","fastincrease",8,34
"432",12,"poor","slowdrying","fastincrease",8,85
"433",13,"poor","slowdrying","slowincrease",8,51
"434",14,"poor","slowdrying","slowincrease",8,84
"435",15,"poor","slowdrying","slowincrease",8,58
"436",16,"poor","slowdrying","slowincrease",8,118
"437",17,"poor","slowdrying","slowincrease",8,44
"438",18,"poor","slowdrying","slowincrease",8,116
"439",19,"poor","fastdrying","fastincrease",8,96
"440",20,"poor","fastdrying","fastincrease",8,48
"441",21,"poor","fastdrying","fastincrease",8,129
"442",22,"poor","fastdrying","fastincrease",8,106
"443",23,"poor","fastdrying","fastincrease",8,69
"444",24,"poor","fastdrying","fastincrease",8,94
"445",25,"poor","fastdrying","slowincrease",8,49
"446",26,"poor","fastdrying","slowincrease",8,41
"447",27,"poor","fastdrying","slowincrease",8,144
"448",28,"poor","fastdrying","slowincrease",8,126
"449",29,"poor","fastdrying","slowincrease",8,85
"450",30,"poor","fastdrying","slowincrease",8,39
"457",37,"good","slowdrying","fastincrease",8,77
"458",38,"good","slowdrying","fastincrease",8,21
"459",39,"good","slowdrying","fastincrease",8,48
"460",40,"good","slowdrying","fastincrease",8,77
"461",41,"good","slowdrying","fastincrease",8,85
"462",42,"good","slowdrying","fastincrease",8,62
