Round,Hedge,Replicate,No.pc,id,Habitats,Starting,Harvesting,No.pods,weight.per.tho,Weight,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,wpp
2,C,5,1,19,rural,71,64,64,NA,0.109,9.29,8.5,9.12,10.47,9.47,9.16,8.59,9.35,8.14,8.38,8.79,8.99,9.04,8.87,8.4,8.27,6.92,8.71,9.12,8.47,7.57,9.25,8.67,9.5,8.15,9.02,9.42,8.04,7.56,9.3,0.000807407
2,C,5,2,20,rural,64,65,65,NA,0.11,8.26,6.54,8.21,6.95,9.3,8.54,8.06,8.34,8.64,8.78,8.6,9.24,8.52,7.55,8.68,8.05,8.64,8.52,7.17,7.61,8.14,8.8,7.08,NA,NA,NA,NA,NA,NA,NA,0.000852713
2,C,6,1,23,rural,44,39,39,NA,0.045,8.49,7.89,8.64,8.32,8.56,6.99,7.2,8.1,7.72,7.17,7.33,7.07,6.97,7.57,5.5,7.92,6.56,7.21,7.45,8.27,7.26,8.32,7.51,8.22,7.82,6.62,8.14,8.99,7.85,9.08,0.000542169
2,C,6,2,24,rural,34,32,32,NA,0.033,8.32,8.09,8.27,6.47,7.9,8.58,8.79,8.34,8.04,8.65,7.93,8.08,8.68,7.87,8.56,6.85,8.33,8,8.96,7.74,7.22,8.49,8.03,7.9,8.53,8.92,8.69,8.68,8.11,6.87,5.00E-04
UM,UM,1,,1,,,27,27,,0.028,6.53,6.28,6.13,6.16,6.72,7.54,7.46,6.9,6.21,6.11,6.75,6.45,6.49,6.51,6.74,6.27,7.35,6.47,6.48,6.18,6.69,6.18,6.77,5.69,6.67,6.94,5.69,,,,
UM,UM,2,,2,,,58,58,,0.045,7.81,7.68,6.9,6.42,9.05,8.78,6.37,6.99,7.73,6.53,6.33,7.52,7.68,8.1,7.45,7.58,7.02,8.41,8.05,7.41,6.89,7.88,7.97,8.39,7.46,7.39,7.38,8.09,7.96,7.51,
UM,UM,3,,3,,,66,66,,0.032,8.4,9.2,7.29,7.7,9.22,6.88,7.36,8.04,7,6.47,7.37,8.16,8.18,7.03,6.82,6.03,7.21,7.43,6.84,8.05,7.36,8.89,6.88,7.22,7.82,6.93,7.35,7.92,6.84,6.35,
UM,UM,4,,4,,,43,43,,0.052,6.71,6.5,6.17,6.12,8.04,7.05,6.49,7.08,6.31,6.39,6.85,6.92,7.86,7.87,6.69,6.18,7.3,7.7,7.11,7.22,7.79,7,7.44,7.71,7.49,8.23,7.22,8.04,8.01,7.49,
UM,UM,5,,5,,,31,31,,0.026,7.23,7.85,8.35,6.83,6.97,5.57,5.86,7.4,8.01,8.02,6,7.42,8.58,7.01,8.07,7.38,6.45,6.67,7.98,7.39,7.21,7.06,6.82,6.63,6.11,7.87,7.24,6.96,7.01,7.22,
UM,UM,6,,6,,,72,72,,0.085,7.75,6.69,6.42,7.53,8.32,7.27,7.21,7.11,7.92,8.33,8.31,7.09,8.24,8.13,7.44,7.16,8.74,7.99,7.08,8.1,8.19,6.85,7.8,7.66,7.96,8.24,7.9,8.01,7.74,7.43,
