"","Round","Hedge","Replicate","No.pc","Starting","id","Habitats","Harvesting","No.seeds","No.flowers","Weight","weightseeds","WPT","NOTE","X","spf","pf","spf2","pf2","spf3","pf3"
"13",1,"C","4",1,28,15,"rural",4,3,2,0.005,3,0.167,"",NA,0.75,0.5,0.1,0.0666666666666667,0.107142857142857,0.0714285714285714
"14",1,"C","4",2,51,16,"rural",29,19,14,0.249,14,1.779,"",NA,0.655172413793103,0.482758620689655,0.292307692307692,0.215384615384615,0.372549019607843,0.274509803921569
"15",1,"C","5",1,41,19,"rural",25,13,5,0.116,7,1.657,"",NA,0.52,0.2,0.282608695652174,0.108695652173913,0.317073170731707,0.121951219512195
"16",2,"H","1",1,40,1,"urban",24,36,17,NA,NA,NA,"",NA,1.5,0.708333333333333,0.631578947368421,0.298245614035088,0.9,0.425
"17",2,"H","1",2,45,2,"urban",15,30,12,NA,NA,NA,"",NA,2,0.8,0.526315789473684,0.210526315789474,0.666666666666667,0.266666666666667
"18",2,"H","2",1,52,5,"urban",49,44,19,NA,NA,NA,"",NA,0.897959183673469,0.387755102040816,0.619718309859155,0.267605633802817,0.846153846153846,0.365384615384615
"19",2,"H","2",2,43,6,"urban",27,75,25,NA,NA,NA,"",NA,2.77777777777778,0.925925925925926,1.10294117647059,0.367647058823529,1.74418604651163,0.581395348837209
"20",2,"H","3",2,55,10,"urban",33,16,13,NA,NA,NA,"",NA,0.484848484848485,0.393939393939394,0.235294117647059,0.191176470588235,0.290909090909091,0.236363636363636
"21",2,"H","4",1,35,13,"rural",38,8,4,NA,NA,NA,"",NA,0.210526315789474,0.105263157894737,0.205128205128205,0.102564102564103,0.228571428571429,0.114285714285714
"22",2,"H","5",1,45,17,"rural",26,6,5,NA,NA,NA,"",NA,0.230769230769231,0.192307692307692,0.12,0.1,0.133333333333333,0.111111111111111
"23",2,"H","5",2,38,18,"rural",23,10,6,NA,NA,NA,"",NA,0.434782608695652,0.260869565217391,0.227272727272727,0.136363636363636,0.263157894736842,0.157894736842105
"24",2,"C","1",1,75,3,"urban",48,39,19,NA,NA,NA,"",NA,0.8125,0.395833333333333,0.414893617021277,0.202127659574468,0.52,0.253333333333333
"25",2,"C","1",2,58,4,"urban",36,12,6,NA,NA,NA,"",NA,0.333333333333333,0.166666666666667,0.1875,0.09375,0.206896551724138,0.103448275862069
"26",2,"C","2",1,42,7,"urban",43,26,9,NA,NA,NA,"",NA,0.604651162790698,0.209302325581395,0.509803921568627,0.176470588235294,0.619047619047619,0.214285714285714
"27",2,"C","2",2,53,8,"urban",45,13,6,NA,NA,NA,"",NA,0.288888888888889,0.133333333333333,0.220338983050847,0.101694915254237,0.245283018867925,0.113207547169811
"28",2,"C","3",1,40,11,"urban",35,24,12,NA,NA,NA,"",NA,0.685714285714286,0.342857142857143,0.461538461538462,0.230769230769231,0.6,0.3
"29",2,"C","3",2,46,12,"urban",17,3,1,NA,NA,NA,"",NA,0.176470588235294,0.0588235294117647,0.0638297872340425,0.0212765957446809,0.0652173913043478,0.0217391304347826
"30",2,"C","4",1,32,15,"rural",30,24,15,NA,NA,NA,"",NA,0.8,0.5,0.51063829787234,0.319148936170213,0.75,0.46875
"31",2,"C","5",1,25,19,"rural",12,2,1,NA,NA,NA,"",NA,0.166666666666667,0.0833333333333333,0.0769230769230769,0.0384615384615385,0.08,0.04
"32",2,"C","5",2,49,20,"rural",19,4,3,NA,NA,NA,"",NA,0.210526315789474,0.157894736842105,0.0769230769230769,0.0576923076923077,0.0816326530612245,0.0612244897959184
"33",2,"C","6",1,40,23,"rural",40,15,8,NA,NA,NA,"",NA,0.375,0.2,0.3125,0.166666666666667,0.375,0.2
"34",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
